GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010,Mansion,0,93,0,0,0,14,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,Duplex,0,102,0,0,0,15,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,HalloweenNeighborhoodTraversal,6,89,1,5,3,22,2,5,1,3
Assignment for class CS5010,edu.neu.ccs.cs5010,Candy,0,45,0,0,0,12,0,6,0,6
Assignment for class CS5010,edu.neu.ccs.cs5010,Detached,0,84,0,0,0,13,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,NeighborhoodVisitor,0,90,0,10,0,27,0,12,0,7
Assignment for class CS5010,edu.neu.ccs.cs5010,FileWriter,36,70,7,5,5,14,5,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,Neighborhood,0,53,0,2,0,8,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,CSVFileReader,30,169,6,12,4,37,4,10,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010,Townhome,0,84,0,0,0,13,0,2,0,2
