GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010,fortest,68,0,4,0,15,0,4,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010,Mansion,4,89,0,0,2,12,1,1,1,1
Assignment for class CS5010,edu.neu.ccs.cs5010,Duplex,4,98,0,0,2,13,1,1,1,1
Assignment for class CS5010,edu.neu.ccs.cs5010,HalloweenNeighborhoodTraversal,110,0,6,0,26,0,7,0,4,0
Assignment for class CS5010,edu.neu.ccs.cs5010,Candy,7,38,0,0,3,9,2,4,2,4
Assignment for class CS5010,edu.neu.ccs.cs5010,Detached,4,80,0,0,2,11,1,1,1,1
Assignment for class CS5010,edu.neu.ccs.cs5010,NeighborhoodVisitor,106,0,10,0,28,0,12,0,7,0
Assignment for class CS5010,edu.neu.ccs.cs5010,FileWriter,106,0,12,0,19,0,8,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010,Neighborhood,53,0,2,0,8,0,3,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010,CSVFileReader,30,163,6,12,4,35,4,10,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010,Townhome,4,80,0,0,2,11,1,1,1,1
