Transaction number, Date, Time, Client ID, Message, Digital signature, Verified, Transactional status
377, 2017-11-13, 02:26:56, 59841, 3779, 472081517908529799288729925822984640686182419, yes, withdrawal accepted
1497, 2017-11-13, 02:26:56, 257088, 14974, 3268855571907312497750076187930892066058357368918472, yes, deposit accepted
2323, 2017-11-13, 02:26:56, 247066, 23230, 3894677589862155899046164306789874497731284432780956807928200439751504, yes, deposit rejected
1304, 2017-11-13, 02:26:56, 896312, 13047, 2815478719895810402128081107459805287859664500, yes, withdrawal rejected
1500, 2017-11-13, 02:26:56, 882224, 15001, 87454315565846760855454997424940828361219996171813108640472, yes, deposit rejected
1067, 2017-11-13, 02:26:56, 587642, 10679, 326832813805663513242328777808576845064327976580121410322123, yes, withdrawal rejected
1361, 2017-11-13, 02:26:56, 835795, 13614, 91686168241053299784488230421843681721575200107894524, yes, deposit accepted
2137, 2017-11-13, 02:26:56, 58914, 21370, 5891863756569347966918039991336419018591119362620442132, yes, deposit rejected
1837, 2017-11-13, 02:26:56, 768492, 18373, 4548674958844842271885612187700392024299469420607513, yes, deposit rejected
1966, 2017-11-13, 02:26:56, 801457, 19660, 138818741963371720839445426688566819023056197713956236100306047, yes, deposit rejected
297, 2017-11-13, 02:26:56, 205488, 2970, 502211201951089952839180092661831303823251438862381087160, yes, deposit accepted
1604, 2017-11-13, 02:26:56, 554803, 16045, 5985194620408530762582429770097359700325574513813269559, yes, withdrawal accepted
537, 2017-11-13, 02:26:56, 104653, 5377, 104982228589366976096899070866490592292633872642569032104, yes, withdrawal accepted
2209, 2017-11-13, 02:26:56, 310206, 22094, 514613761149327928184380081809614750558682634610, yes, deposit rejected
