GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010,RecommendationSystem.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,FollowerGraph,4,187,1,17,1,38,2,16,1,8
Assignment for class CS5010,edu.neu.ccs.cs5010,GenerateFile,8,110,3,7,3,25,3,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010,Edges,0,17,0,0,0,7,0,5,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010,GetUserInfo,23,162,6,12,6,36,6,6,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010,RecommendationSystem,163,397,16,24,44,79,10,19,1,8
Assignment for class CS5010,edu.neu.ccs.cs5010,Recommend,14,115,1,9,2,23,2,8,1,4
Assignment for class CS5010,edu.neu.ccs.cs5010,UserVertex,9,21,0,0,4,8,1,4,1,4
Assignment for class CS5010,edu.neu.ccs.cs5010,FollowedGraph,9,178,1,17,3,35,3,15,2,7
Assignment for class CS5010,edu.neu.ccs.cs5010,Users,5,46,0,0,2,16,2,8,2,8
